PROVINCIA;C6H6;SO2;CO;NO2;O3;O3_GIORNI_SUPERAMENTO_TOLLERANZA;O3_GIORNI_SUPERAMENTO_ALLARME;PM10;PM2_5;Pb;As;Ni;Cd;BaP
LO;1.1; ;0.4;30; ; ; ; ;26; ; ; ; ; 
LO; ; ; ;23;47;22;0; ; ; ; ; ; ; 
LO; ; ; ;26;42;7;0;35; ; ; ; ; ; 
LO; ;5; ;30; ; ; ;41; ; ; ; ; ; 
LO; ; ;0.4;25; ; ; ;30; ; ; ; ; ; 
MB; ; ; ; ;42;14;0; ; ; ; ; ; ; 
MB; ; ; ;46;41;5;0; ; ; ; ; ; ; 
MB; ; ; ;40;35;4;0; ; ; ; ; ; ; 
MB; ; ; ;38;45;6;1;31; ; ; ; ; ; 
MB; ; ;1.1;54;44;15;0;42; ;0.026;1.5;4;0.4;1.4
MB; ;5.8;0.6;43;42;16;0;38;31; ; ; ; ; 
MB; ; ; ; ;47;17;1;39; ; ; ; ; ; 
MI; ;5;0.8;37;44;4;0;39; ;0.013;1.5;5.9;0.3;0.5
MI; ;5; ;24; ; ; ;28; ; ; ; ; ; 
MI; ;1; ;33;37;1;0;42; ; ; ; ; ; 
MI; ; ; ;26; ; ; ;31; ; ; ; ; ; 
MI; ; ;0.7;25;47;18;0; ; ; ; ; ; ; 
MI;1.9; ;0.7;41; ; ; ; ; ; ; ; ; ; 
MI; ; ;0.7;44; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;54; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;25; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;22;48;29;1; ; ; ; ; ; ; 
MI; ; ; ;41;40;1;0; ; ; ; ; ; ; 
MI; ; ;0.9;32;51;22;1;27; ; ; ; ; ; 
MI; ; ;1;31; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;44;37;7;0;36; ; ; ; ; ; 
MI; ; ; ;64; ; ; ; ; ; ; ; ; ; 
MI; ;3; ;48;40;17;0; ; ; ; ; ; ; 
MI; ; ;0.8;60;35;0;0; ; ; ; ; ; ; 
MI; ; ; ;35; ; ; ; ; ; ; ; ; ; 
MI; ; ; ; ; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;47; ; ; ; ; ; ; ; ; ; 
MI;1.1; ;1;61; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;49; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;39; ;3;0; ; ; ; ; ; ; 
MI; ;2;0.5;31;39;5;0;41; ; ; ; ; ; 
MI;1.4;6; ;42;39;0;0;38;31;0.018;1.5;4;0.3;0.4
MI; ; ; ;53;38;0;0;35; ; ; ; ; ; 
MI; ; ;1.2;62; ; ; ; ; ; ; ; ; ; 
MI;1.9; ;1.1;58; ; ; ; ; ; ; ; ; ; 
MI; ; ;0.9;55; ; ; ; ; ; ; ; ; ; 
MI; ; ;0.9;47; ; ; ; ; ; ; ; ; ; 
MI; ; ;1.1;54; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;50; ; ; ; ; ; ; ; ; ; 
MI;2.7; ;1.3;56; ; ; ;38;30;0.024;1.5;8.3;0.3;0.3
MI; ; ; ;35;47;4;0; ; ; ; ; ; ; 
MI; ; ;1;34; ; ; ; ; ; ; ; ; ; 
MI; ; ; ;25;47;2;0; ; ; ; ; ; ; 
MN;1.2;4;0.8;26; ; ; ;32; ; ; ; ; ; 
MN;1; ;0.6;23;52;15;0;32;28;0.003;1.5;4;0.1;0.5
MN;1.1;3.3; ;28; ; ; ;34; ; ; ; ; ; 
MN; ;3.5;0.5;30; ; ; ;28; ; ; ; ; ; 
MN; ;3; ;28;49;7;0; ; ; ; ; ; ; 
MN; ; ; ;16;50;11;0; ; ; ; ; ; ; 
MN; ; ; ;26;50;13;0; ; ; ; ; ; ; 
MN; ; ; ;21;55;12;0; ; ; ; ; ; ; 
MN;0.3; ;0.6;29; ; ; ; ; ; ; ; ; ; 
MN; ; ; ;20;50;9;0; ; ; ; ; ; ; 
MN; ; ; ;22;50;10;0; ; ; ; ; ; ; 
MN; ; ;0.8;20; ; ; ;28; ; ; ; ; ; 
MN; ; ; ;16; ; ; ;29; ; ; ; ; ; 
MN;0.4; ; ;19;50;9;0;32;27;0.003;1.5;4;0.1;0.4
MN;0.7;3.7; ;20; ; ; ;31;24; ; ; ; ; 
MN; ; ; ;31;54;22;0;31;24; ; ; ; ; 
PV; ; ;0.5;37; ; ; ;36; ; ; ; ; ; 
PV;1.2;6; ;30;40;2;0;33; ; ; ; ; ; 
PV; ; ; ;38; ; ; ;37; ; ; ; ; ; 
PV; ;5; ; ; ; ; ; ; ; ; ; ; ; 
PV; ;8; ; ; ; ; ; ; ; ; ; ; ; 
PV; ; ;0.5;20;46;4;0; ; ; ; ; ; ; 
PV; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PV; ; ; ;26; ;1;0; ;23; ; ; ; ; 
PV;1; ;0.6;30;45;13;0; ;16; ; ; ; ; 
PV; ; ; ; ; ; ; ; ; ; ; ; ; ; 
PV;0.6; ;0.5;37;42;1;0; ; ; ; ; ; ; 
PV; ;6; ; ; ; ; ;38; ; ; ; ; ; 
PV;3.6;7; ;40; ; ; ; ; ; ; ; ; ; 
SO; ;1;0.6;16;60;0;0;17; ; ; ; ; ; 
SO; ; ; ;17;44;0;0; ; ; ; ; ; ; 
SO; ; ;0.8;25; ; ; ; ; ; ; ; ; ; 
SO; ; ;0.7;18;55;7;0;25; ; ; ; ; ; 
SO;0.9;3;0.8;29; ; ; ;24; ; ; ; ; ; 
SO; ; ; ;30;37;0;0;26; ;0.008;1.5;4;0.1;1.8
VA; ; ;0.4;28;42;12;0;33; ; ; ; ; ; 
VA; ; ;0.6;43; ; ; ;28;22;0.005;1.5;6.9;0.1;0.4
VA; ;1; ;23;56;20;0; ; ; ; ; ; ; 
VA; ; ; ;39; ; ; ; ; ; ; ; ; ; 
VA;1.3; ; ;34;37;2;0; ; ; ; ; ; ; 
VA; ;3;0.4;27;47;19;0;29; ; ; ; ; ; 
VA; ; ; ;38;46;22;1;30;22; ; ; ; ; 
VA; ; ; ;44;43;12;0;27; ; ; ; ; ; 
VA; ; ; ;42;43;15;0; ; ; ; ; ; ; 
