giorno.settimana,peso.pescato,settore.di.pesca,settore.num,forza.del.mare,tempesta
3,14.21925795,F,6,2,0
3,9.928169544,G,7,4,0
3,13.96546912,G,7,4,0
3,15.72565785,G,7,2,0
3,14.85996339,G,7,1,0
3,13.88477707,H,8,3,0
3,17.55859924,H,8,1,0
3,12.44291295,I,9,6,1
3,15.78494014,I,9,5,1
3,13.72836457,I,9,5,1
3,14.36888106,I,9,4,0
3,17.24425452,I,9,3,0
3,17.75341684,I,9,1,0
3,17.94356219,I,9,1,0
3,19.00341877,I,9,0,0
3,16.60810842,I,9,1,0
4,4.698908591,A,1,7,1
4,8.18120208,A,1,3,0
4,7.604985294,A,1,5,1
4,6.332358156,A,1,5,1
4,7.086611503,A,1,4,0
4,8.699843397,A,1,2,0
4,8.054110352,A,1,2,0
4,9.597957172,A,1,2,0
4,10.10265154,A,1,1,0
4,4.098132136,B,2,9,1
4,4.313796725,B,2,8,1
4,7.02913577,B,2,5,1
4,6.208005722,B,2,6,1
4,7.093281519,B,2,5,1
4,8.357190304,B,2,5,1
4,7.499046871,B,2,3,0
4,8.212532877,B,2,3,0
4,11.10221098,B,2,2,0
4,11.84373254,B,2,0,0
4,11.44585639,B,2,0,0
4,5.993153937,C,3,7,1
4,12.65841815,C,3,2,0
4,9.125236406,C,3,2,0
4,9.333814419,E,5,6,1
4,11.12407052,E,5,5,1
4,9.746048097,E,5,4,0
4,11.53106446,E,5,4,0
4,12.87307052,E,5,4,0
4,10.92010919,E,5,3,0
4,13.44313085,E,5,2,0
4,15.25977514,E,5,1,0
4,12.21105472,G,7,5,1
4,10.43396818,G,7,6,1
4,12.02873808,G,7,5,1
4,15.32893226,G,7,4,0
4,13.70289283,G,7,2,0
4,16.47038919,G,7,2,0
4,16.94861962,G,7,0,0
4,14.61068854,H,8,4,0
4,15.41254887,H,8,2,0
4,14.42648876,H,8,5,1
4,15.86342327,H,8,1,0
4,11.11729026,I,9,7,1
4,12.87457298,I,9,3,0
4,16.32040203,I,9,3,0
4,15.99226353,I,9,3,0
4,20.16372274,I,9,2,0
4,17.93324972,I,9,2,0
4,16.90492338,I,9,1,0
4,18.29960014,I,9,1,0
4,17.27054868,I,9,1,0
5,4.997038991,A,1,7,1
5,3.696122321,A,1,7,1
5,10.56006111,A,1,1,0
5,5.809325498,B,2,8,1
5,4.235454597,B,2,7,1
5,6.54767787,B,2,6,1
5,5.741345577,B,2,5,1
5,7.604485902,B,2,5,1
5,7.700279272,B,2,4,0
5,7.49264873,B,2,4,0
5,7.980053099,B,2,4,0
5,8.411291132,B,2,3,0
5,9.193372086,B,2,3,0
5,8.065011328,B,2,3,0
5,9.354688396,B,2,3,0
5,7.981609349,B,2,3,0
5,11.84527259,B,2,2,0
5,11.70380007,B,2,1,0
5,11.87281472,B,2,1,0
5,10.90606922,B,2,0,0
5,2.409329819,C,3,8,1
5,5.42263946,C,3,7,1
5,7.77107519,C,3,5,1
5,8.290015436,C,3,4,0
5,8.788657025,C,3,4,0
5,9.22014303,C,3,3,0
5,11.78272355,C,3,2,0
5,11.77701279,C,3,1,0
5,,D,4,5,1
5,6.324895829,E,5,8,1
5,8.84374613,E,5,7,1
5,8.947283862,E,5,6,1
5,10.41458757,E,5,6,1
5,10.73314923,E,5,5,1
5,12.6498665,E,5,3,0
5,12.62777023,E,5,3,0
5,12.27219514,E,5,2,0
5,15.37106402,E,5,1,0
5,13.79956482,E,5,1,0
5,8.022057255,F,6,7,1
5,11.47051537,F,6,4,0
5,14.83778454,F,6,2,0
5,9.178994206,G,7,7,1
5,10.6718569,G,7,5,1
5,13.10192525,G,7,3,0
5,13.6507034,G,7,3,0
5,15.87759091,G,7,2,0
5,14.76803957,G,7,3,0
5,15.67506538,G,7,2,0
5,13.73475821,H,8,2,0
5,16.53183711,H,8,1,0
5,13.31493579,I,9,5,1
5,17.44584916,I,9,3,0
5,19.35156072,I,9,1,0
5,17.93952019,I,9,1,0
5,19.18230021,I,9,1,0
