kg.di.pesce,settore.di.pesca,forza.del.mare,peso.astice
11.71380434,B,4,23
7.579254343,C,4,22.4
9.181744343,A,4,22.1
42.98670434,A,5,21.5
10.95640434,D,5,21.5
1.573184343,A,5,23.3
5.654694343,G,5,22.4
9.305394343,I,4,21.5
0.953009343,B,5,23
11.58460434,E,3,21.2
2.394544343,B,4,21.8
8.241654343,I,4,20.3
35.51270434,C,4,22.7
4.248774343,A,4,21.8
11.94100434,C,4,20.3
2.934674343,B,5,22.7
0.939415343,C,5,23.3
12.82160434,E,4,20.9
2.733414343,E,4,22.1
3.544934343,B,4,24.5
15.63070434,B,4,20
8.977824343,E,4,20.9
34.10010434,B,3,21.8
13.96650434,B,3,21.8
2.098074343,B,4,21.5
20.32710434,D,4,17.3
0.542670343,A,5,21.2
20.40870434,D,4,19.1
1.603784343,E,4,19.7
25.61680434,F,4,20.6
1.891414343,C,4,21.5
10.72790434,C,3,18.2
4.756274343,G,4,20.6
9.735504343,G,4,19.1
17.79420434,B,3,21.2
28.35940434,E,3,19.1
3.004094343,I,4,18.8
7.513904343,G,4,18.8
6.243364343,H,4,19.1
22.69730434,C,3,19.4
26.93670434,C,3,20.9
4.232754343,A,4,20
4.599824343,E,4,20.3
19.11930434,G,2,18.2
22.89720434,B,3,20
4.077364343,B,3,20
2.709734343,E,3,18.2
1.530294343,A,3,19.4
8.128664343,I,3,18.5
3.621254343,G,3,19.4
2.284324343,G,4,19.7
12.79280434,E,2,18.5
10.23710434,B,3,19.7
3.092664343,B,3,17.6
4.114934343,G,3,18.2
15.49030434,B,3,20.3
6.834944343,E,3,16.4
6.615054343,I,3,18.2
17.40840434,I,3,19.4
1.920214343,E,3,17.6
9.428954343,F,3,16.4
4.736594343,E,3,17
8.378294343,G,2,16.4
17.26630434,I,3,14.9
37.46530434,B,3,17.3
17.27440434,I,3,18.2
11.85350434,A,3,18.8
4.088404343,B,3,16.4
7.212504343,C,2,17.6
3.924664343,I,3,17.9
12.80660434,B,3,17.3
14.69000434,G,3,17.6
8.443834343,A,3,17.9
3.549904343,I,2,16.7
2.959194343,B,3,17.6
10.60000434,B,3,17.3
7.437974343,G,3,17
7.159194343,C,3,16.7
1.641584343,A,2,17.6
8.026934343,G,2,15.5
8.251864343,G,2,18.2
6.821084343,H,3,15.5
3.656594343,H,3,16.1
4.985344343,I,2,17
16.44130434,E,2,17.6
9.384724343,B,2,17.3
0.796517343,I,3,17.3
16.06230434,B,3,15.2
1.471254343,E,3,18.2
5.036254343,G,3,16.4
25.97740434,B,2,16.4
5.991674343,I,2,15.8
18.67390434,C,2,16.7
6.916894343,A,2,26
38.73840434,G,2,15.5
10.87690434,A,3,15.5
0.397526343,I,3,19.1
14.46350434,F,2,14.6
13.53370434,A,2,16.1
31.91980434,C,2,15.5
4.302404343,E,2,17
1.098504343,I,2,15.5
11.37030434,A,2,15.8
3.662284343,H,2,13.4
0.366451343,B,3,13.7
9.363464343,E,2,14.6
16.42650434,A,2,15.2
7.856254343,C,2,15.8
12.32270434,B,2,15.8
18.68970434,F,2,13.1
2.383364343,I,1,14.3
19.32700434,A,2,13.4
5.623424343,B,2,14.6
8.643104343,E,2,15.5
8.560864343,H,2,14
3.236224343,E,3,14.9
2.820894343,A,2,14
12.82570434,I,1,15.5
13.80350434,G,2,13.7
25.92310434,B,2,14.3
2.238654343,I,1,13.4
21.75090434,C,1,13.7
3.883084343,I,1,13.7
7.050954343,C,2,14
38.84950434,I,1,14.3
10.95500434,B,1,13.7
2.915364343,B,1,9.5
4.148494343,E,1,13.7
4.741644343,H,5,11.6
19.06240434,B,1,12.2
9.211904343,E,1,14.9
2.837994343,E,1,11.6
8.991944343,A,1,11
6.204604343,I,1,11.6
3.126074343,E,1,11
11.88450434,F,1,12.2
5.009254343,G,1,9.2
6.695204343,H,1,11.6
8.383424343,H,1,17.3
6.290004343,H,1,12.5
10.74950434,G,1,8.6
0.551509343,A,1,11.9
13.67900434,C,1,10.7
17.58570434,I,1,11.6
2.371924343,I,1,8
5.624794343,B,1,11
3.618204343,I,1,11.3
5.137504343,B,1,8.3
20.55720434,E,1,11
6.491274343,I,1,11.6
9.317234343,I,1,4.1
2.595614343,A,1,9.2
23.98390434,I,0,8.6
11.16610434,A,1,12.5
3.022344343,B,1,9.8
10.46590434,B,0,11
17.39310434,C,1,9.5
7.571884343,G,1,8.9
3.972394343,I,1,5.3
16.00210434,C,1,4.1
8.324404343,G,1,10.1
2.869144343,A,1,8
6.650674343,I,1,8.3
22.53380434,B,0,6.2
11.27260434,A,1,7.7
19.12970434,A,1,5.3
19.40130434,A,0,7.1
13.61610434,D,0,7.1
27.66210434,G,0,6.8
11.67840434,E,1,5.9
45.38950434,C,0,7.1
0.403444343,B,1,8.6
2.703744343,A,0,5.9
4.308614343,B,0,3.8
4.353504343,B,0,2.6
2.886564343,I,0,0.5
