ParkID,PSA,Park,FQ,Score,Facility Type,Facility Name,Address,State,Zipcode,Floor Count,Square Feet,Perimeter Length,Acres,Longitude,Latitude
96,PSA1,Fulton Playground,FY05Q4,0.785,Basketball Court,Friend Basketball Courts,270 6th St,CA,94103,,6206.83755454,325.53343636,0.14248995,-122.40664464,37.77871683
201,PSA6,Prentiss Mini Park,FY05Q4,0.938,Clubhouse,Peixotto Clubhouse,15th St & Roosevelt,CA,94114,1,2206.75911407,197.19342464,0.05066042,-122.43763555,37.7656256
95,PSA1,Cabrillo Playground,FY05Q4,0.847,Basketball Court,Silver Terrace Basketball Courts,Thornton & Bayshore,CA,94124,,6430.65812057,324.46297144,0.14762819,-122.40237246,37.73280967
156,PSA1,10th Avenue-Clement Mini Park,FY05Q4,0.655,Clubhouse,Boeddeker Park Clubhouse,295 Eddy St,CA,94102,2,3737.61853707,341.73327562,0.08580426,-122.41181591,37.78431772
172,PSA1,Richmond Recreation Center,FY05Q4,0.952,Fieldhouse,GGP1 Kezar Fieldhouse S,755 Stanyan,CA,94117,,2260.34423283,232.58714591,0.05189057,-122.45598582,37.76620435
118,PSA2,Joseph L. Alioto Performing Arts Piazza,FY05Q4,0.974,,,,,,,,,,,
65,PSA4,Aptos Playground,FY05Q4,0.759,Basketball Court,Holly Park Basketball Courts,Holly Park Cir,CA,94110,,5308.3049602,303.45103125,0.1218624,-122.42038592,37.73698333
9,PSA4,Rolph Nicol Playground,FY05Q4,0.904,Dog Play Area,Douglass dog play area,26th & Douglass Street,CA,94114,,70655.3372339,1153.01964642,1.62202984,-122.43889466,37.74674101
54,PSA2,Jackson Playground,FY05Q4,0.885,Basketball Court,Jose Coronado Basketball Courts,21st & Folsom,CA,94110,,6941.84702357,354.07131837,0.15936352,-122.41525922,37.75750603
52,PSA2,Potrero Hill Recreation Center,FY05Q4,0.831,Basketball Court,Cayuga Basketball Courts,Cayuga & Naglee St,CA,94112,,7743.77720525,358.05812772,0.17777337,-122.45013946,37.71405211
159,PSA5,Cayuga-Lamartine Mini Park,FY05Q4,0.545,Clubhouse,Willie Woo Woo Wong Clubhouse,850 Sacramento St,CA,94108,2,3403.83588163,243.05796446,0.07814163,-122.40690115,37.79359973
31,PSA6,St. Mary's Recreation Center,FY05Q4,0.976,Ball Field,Raymond Kimbell ball fields,Steiner & O'Farrell Street,CA,94115,,104365.61148,1535.71717739,2.39591435,-122.43509741,37.78270623
94,GGP,Golden Gate Park,FY05Q4,0.877,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
141,PSA1,Portsmouth Square,FY05Q4,0.714,Restroom,Lower Great Hwy Wawona Bathrooms,Great Hwy & Noriega,CA,94122,1,3391.88708734,1046.45121399,0.07786732,-122.50634897,37.73640946
134,PSA2,Father Alfred E. Boeddeker Park,FY05Q4,1,Restroom,Holly Park Bathrooms,Holly Park Cir,CA,94110,,446.49970338,92.08904239,0.01025026,-122.42057329,37.73711761
164,PSA3,Crocker Amazon Playground,FY05Q4,0.809,Clubhouse,Excelsior Clubhouse,Russia Ave & Madrid,CA,94112,1,2747.3730508,278.83978327,0.06307126,-122.43361483,37.72024888
13,PSA4,Junipero Serra Playground,FY05Q4,0.935,Ball Field,Glen ball fields,Diamond & Farnum Street,CA,94131,,124520.486259,1891.67544541,2.85860846,-122.44059154,37.73600816
68,PSA4,West Portal Playground,FY05Q4,1,Basketball Court,James Rolph Jr Basketball Courts,Potrero & Cesar Chavez St,CA,94110,,7643.29521634,509.15403411,0.17546662,-122.40654275,37.75007779
16,PSA4,Randolph-Bright Mini Park,FY05Q4,0.875,,,,,,,,,,,
196,PSA4,Head-Brotherhood Mini Park,FY05Q4,0.957,Maintenance Facility,Michelangelo Gardeners Shed,Greenwich & Jones,CA,94133,,249.74198702,68.36951953,0.00573331,-122.41678045,37.80126925
17,PSA4,Merced Heights Playground,FY05Q4,0.747,Ball Field,Jackson ball fields,17th & Arkansas Street,CA,94107,,147298.316637,1631.63027581,3.38151758,-122.39966866,37.7644047
70,PSA5,Miraloma Playground,FY05Q4,0.914,Basketball Court,Julius Kahn Basketball Courts,West Pacific Ave & Spruce St,CA,94118,,5049.66417562,295.52117196,0.1159248,-122.45432447,37.7912172
1,PSA5,Glen Park,FY05Q4,0.858,Ball Field,Chalmers: Ball Fields,670 Brunswick & Lowell Roemer,CA,94112,,43710.0184176,856.15180694,1.00344796,-122.44643687,37.70989615
158,PSA5,Joost-Baden Mini Park,FY06Q1,0.571,Clubhouse,Cayuga Clubhouse,Cayuga & Naglee St,CA,94112,1,3211.76397627,233.43396958,0.07373225,-122.44979162,37.71423603
34,PSA6,Coleridge Mini Park,FY06Q1,0.632,Ball Field,St Mary's Ball Fields,Murray & Justin Dr,CA,94112,,84078.5528853,1213.73295736,1.9301857,-122.42088341,37.7344511
182,PSA2,Fillmore-Turk Mini Park,FY06Q1,0.73,Clubhouse,J. P. Murphy Clubhouse,1960 9th Ave,CA,94116,2,2599.03414942,236.37915801,0.05966585,-122.46524302,37.75156572
122,PSA2,Jefferson Square,FY06Q1,0.788,Restroom,GGP4 Mothers Meadow Bathroom,M.L. King Dr/19th Ave,CA,94117,,1381.33674553,154.49024443,0.03171126,-122.47668133,37.76637364
107,PSA1,Laurel Hill Playground,FY06Q1,0.896,Restroom,Alamo: Restrooms,Hayes & Steiner,CA,94117,1,479.58760374,96.29146286,0.01100986,-122.43430821,37.776068
166,PSA1,Julius Kahn Playground,FY06Q1,0.872,Clubhouse,Gilman Clubhouse,Gilman Ave & Griffith,CA,94124,1,3479.96936258,236.52381605,0.07988942,-122.38832992,37.71682579
108,PSA2,Bush-Broderick Mini Park,FY06Q1,0.714,Restroom,Alta: Restrooms,Jackson & Steiner,CA,94115,1,213.12065831,60.72910794,0.0048926,-122.43815497,37.7912412
119,PSA2,Margaret S. Hayward Playground,FY06Q1,0.87,Restroom,GGP3 Arboretum South Restrooms,Stanyan & Great Hwy,CA,94117,,330.07628624,78.2887399,0.00757754,-122.46834526,37.76680021
105,PSA1,Angelo J. Rossi Playground,FY06Q1,0.909,Basketball Court,YoungbloodColeman Basketball Courts,Mendell & Galvez,CA,94124,,10461.2418713,450.06419153,0.24015803,-122.38380193,37.73816799
116,PSA2,Hayes Valley Playground,FY06Q1,0.939,,,,,,,,,,,
114,PSA2,Page-Laguna Mini Park,FY06Q1,0.833,Maintenance Facility,Huntington Park Maint Bldgs,California & Taylor,CA,94108,1,299.70694907,64.77327613,0.00688035,-122.4122741,37.7920544
56,PSA2,South Park,FY06Q1,0.979,Basketball Court,Duboce Park Basketball Courts,Duboce & Scott St,CA,94117,,4241.34373459,277.37614501,0.09736824,-122.4342058,37.76943315
38,PSA3,Bay View Playground,FY06Q1,0.717,Ball Field,Visitacion Valley Ball Fields,Cora & Leland St,CA,94134,,53257.8999859,886.43813687,1.22263804,-122.40908358,37.71227452
44,PSA3,Gilman Playground,FY06Q1,0.702,Basketball Court,Rossi Basketball Courts,Arguello & Anza,CA,94118,,5991.51196238,319.89579462,0.13754674,-122.45738243,37.7792252
177,PSA3,Visitacion Valley Greenway,FY06Q1,0.859,,,,,,,,,,,
157,PSA3,Selby-Palou Mini Park,FY06Q1,0.548,Clubhouse,Cabrillo Clubhouse,38th Ave  &  Cabrillo,CA,94121,1,1379.55095637,194.20797613,0.03167026,-122.49845418,37.77309962
102,PSA1,Mountain Lake Park,FY06Q1,0.849,Basketball Court,Upper Noe Basketball Courts,Day & Sanchez St,CA,94131,,5471.93703318,304.92673649,0.12561889,-122.42795075,37.74226468
124,PSA2,Raymond Kimbell Playground,FY06Q1,0.568,Restroom,GGP2 Big Rec Bathroom,Stanyan & Great Hwy,CA,94117,1,1854.90428247,185.77869941,0.04258291,-122.46536323,37.76853068
51,PSA6,24th Street-York Mini Park,FY06Q1,0.927,Basketball Court,Larsen Basketball Courts,19th Ave & Vicente,CA,94116,,6939.12054321,352.4466055,0.15930093,-122.47610361,37.73980229
45,PSA3,Youngblood Coleman Playground,FY06Q1,0.785,Basketball Court,Argonne: Basketball,18th Ave  &  Geary Blvd,CA,94121,,4209.02369353,268.01064089,0.09662627,-122.47793647,37.77928896
82,PSA4,Pine Lake Park,FY06Q1,0.692,Basketball Court,Mission PG Basketball Court,19th & Linda,CA,94110,,5620.72826355,309.7624937,0.12903468,-122.42257415,37.75924429
18,PSA4,Brooks Park,FY06Q1,1,Ball Field,Rolph ball fields,Potrero & Cesar Chavez Street,CA,94110,,84562.7610124,1302.17308429,1.94130164,-122.4061396,37.74951809
23,PSA6,Juri Commons,FY06Q1,0.739,Ball Field,James Lang Ball Fields,1016 Laguna,CA,94102,,98547.664829,1395.6175974,2.26235214,-122.42465985,37.78097316
187,PSA6,Parque Ninos Unidos,FY06Q1,0.906,Clubhouse,Louis Sutter Clubhouse,Wayland & Yale St,CA,94134,,2487.20644945,176.85402932,0.05709863,-122.41437425,37.72238701
39,PSA3,Silver Terrace Playground,FY06Q1,0.802,Ball Field,West Sunset Ball Fields,3223 Ortega St & 39th Ave,CA,94116,,222407.848022,3633.30555762,5.10580206,-122.4986525,37.74905447
188,PSA3,Palou-Phelps Park,FY06Q1,0.787,Clubhouse,Julius Kahn Clubhouse,West Pacific Ave & Spruce St,CA,94118,1,1443.45118905,163.62705969,0.03313721,-122.45373436,37.79124744
93,PSA4,Sunset Playground,FY06Q1,0.773,Basketball Court,Rochambeau Basketball Courts,24th Ave & Lake,CA,94121,,11519.3302359,640.89995279,0.26444849,-122.4846026,37.78477532
165,PSA3,Hunters Point Recreation Center,FY06Q1,0.639,Clubhouse,Fulton Clubhouse,27th Ave & Fulton St,CA,94121,1,1324.89865642,192.82184031,0.03041561,-122.48689338,37.77354959
84,PSA4,Parkside Square,FY06Q1,0.873,Basketball Court,Noe Valley Courts Basketball Courts,24th & Douglass St,CA,94114,,4366.99484314,273.77967126,0.10025281,-122.43903453,37.75155961
166,PSA1,Julius Kahn Playground,FY06Q1,0.962,Clubhouse,Gilman Clubhouse,Gilman Ave & Griffith,CA,94124,1,3479.96936258,236.52381605,0.07988942,-122.38832992,37.71682579
107,PSA1,Laurel Hill Playground,FY06Q1,0.915,Restroom,Alamo: Restrooms,Hayes & Steiner,CA,94117,1,479.58760374,96.29146286,0.01100986,-122.43430821,37.776068
108,PSA2,Bush-Broderick Mini Park,FY06Q1,0.844,Restroom,Alta: Restrooms,Jackson & Steiner,CA,94115,1,213.12065831,60.72910794,0.0048926,-122.43815497,37.7912412
124,PSA2,Raymond Kimbell Playground,FY06Q1,0.754,Restroom,GGP2 Big Rec Bathroom,Stanyan & Great Hwy,CA,94117,1,1854.90428247,185.77869941,0.04258291,-122.46536323,37.76853068
86,PSA4,Carl Larsen Park,FY06Q1,0.813,Basketball Court,Ocean View Basketball Courts,Capitol & Montana St,CA,94112,,5572.02031431,311.98222779,0.1279165,-122.45670775,37.71633478
72,PSA5,Noe Valley Courts,FY06Q1,0.862,Basketball Court,Kelloch Velasco Basketball Courts,Kelloch & Velasco St,CA,94134,,8317.7788332,532.84981018,0.19095069,-122.41281406,37.70844554
149,PSA1,Telegraph Hill/Pioneer Park,FY06Q1,0.66,Restroom,States Street Restrooms,States St,CA,94114,1,298.62389649,80.84643246,0.00685549,-122.43856985,37.76376486
147,PSA1,Washington Square,FY06Q1,0.611,Restroom,Portsmouth Square Bathrooms,Washington & Walter Lum Pl,CA,94111,4,858.29910606,133.31310475,0.01970392,-122.40560121,37.79460147
204,PSA1,Broadway Tunnel East Mini Park,FY06Q1,1,Clubhouse,Portsmouth Square Clubhouse,Washington & Kearny St,CA,94111,,2363.62486901,209.84309912,0.05426158,-122.4052788,37.79502267
152,PSA1,Chestnut-Kearny Open Space,FY06Q1,0.8,Restroom,Marina Green Bathrooms West,Marina Blvd,CA,94123,,1089.89674304,172.86276135,0.02502069,-122.44826807,37.80575328
150,PSA1,Joe DiMaggio North Beach Playground,FY06Q1,0.849,Restroom,Washington Square Bathrooms,Filbert & Stockton & Columbus,CA,94133,1,287.27759197,83.94499361,0.00659501,-122.41063078,37.80105784
94,GGP,Golden Gate Park,FY06Q1,0.956,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
94,GGP,Golden Gate Park,FY06Q1,0.964,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
94,GGP,Golden Gate Park,FY06Q1,0.724,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
94,GGP,Golden Gate Park,FY06Q1,0.936,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
132,PSA1,Moscone Recreation Center,FY06Q1,0.774,Restroom,GGP5 Hellman Hollow Restrooms (frmrly Speedway M,Stanyan & Great Hwy,CA,94117,,1003.96155916,126.82863382,0.02304788,-122.4846926,37.76952984
79,PSA5,Saturn Street Steps,FY06Q1,0.286,,,,,,,,,,,
81,PSA5,Buena Vista Park,FY06Q1,0.619,Basketball Court,Mission Dolores Basketball Courts,19th & Dolores St,CA,94110,,6114.33862854,324.16947022,0.14036646,-122.42739885,37.76103393
195,PSA5,Peixotto Playground,FY06Q1,0.77,Clubhouse,McCoppin Square Clubhouse,24th & Taraval,CA,94116,1,1220.97237056,186.16244717,0.02802978,-122.48075768,37.743533
94,GGP,Golden Gate Park,FY06Q1,0.858,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
94,GGP,Golden Gate Park,FY06Q1,1,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
94,GGP,Golden Gate Park,FY06Q1,1,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
193,PSA2,Esprit Park,FY06Q1,0.875,Clubhouse,MS Hayward Historic Clubhouse,1016 Laguna,CA,94102,,1016.86513675,169.67849563,0.0233441,-122.42668959,37.7807431
113,PSA6,Duboce Park,FY06Q1,0.918,Restroom,Larsen Restrooms,19th Ave & Vicente,CA,94116,,323.65283913,77.38584687,0.00743008,-122.47604401,37.73945888
37,PSA6,Precita Park,FY06Q1,0.935,Ball Field,Upper Noe Ball Fields,Day & Sanchez St,CA,94131,,41131.458692,843.25765343,0.94425214,-122.42748055,37.74242329
167,PSA4,Midtown Terrace Playground,FY06Q1,0.968,Activity Center,GGP5 Anglers Lodge,Stanyan & Great Hwy,CA,94117,1,2013.00861791,212.43984643,0.0462125,-122.49656408,37.76799666
78,PSA5,Mt. Olympus,FY06Q1,0.952,Basketball Court,Michelangelo Basketball Courts,Greenwich & Jones,CA,94133,,4157.34091877,255.5544523,0.0954398,-122.41675033,37.80101867
197,PSA5,Topaz Open Space,FY06Q1,0,Clubhouse,Midtown Terrace Clubhouse,Clarendon & Olympia Way,CA,94131,1,2250.31679961,210.45916064,0.05166037,-122.45586793,37.7515958
63,PSA6,Mission Dolores Park,FY06Q1,0.953,Basketball Court,Head/Brotherhood Basketball Courts,Head St & Brotherhood Way,CA,94112,,5011.46119745,296.28422135,0.11504778,-122.46417493,37.7126251
199,PSA6,Coso-Precita Mini Park,FY06Q1,1,Maintenance Facility,Mission Dolores Park Maintenance Building,19th & Dolores St,CA,94110,2,1172.48017632,140.29280117,0.02691655,-122.42685893,37.75962315
176,PSA6,Mullen-Peralta Mini Park,FY06Q1,1,Activity Center,GGP1 Sharon Arts Studio,Sharon Meadow,CA,94117,2,8482.89796935,513.54125224,0.19474132,-122.4582116,37.76827229
19,PSA4,Minnie & Lovie Ward Recreation Center,FY06Q1,0.547,Ball Field,Louis Sutter PG Ball Fields,Mansell & Visitacion,CA,94134,,111951.522599,1514.096974,2.5700636,-122.41348022,37.72310926
170,PSA1,Woh Hei Yuen Park,FY06Q1,0.862,Activity Center,GGP3 County Fair Bldg,Stanyan & Great Hwy,CA,94117,1,28191.7247907,1359.81325728,0.64719554,-122.46716526,37.76656383
139,PSA1,Willie Woo Woo Wong Playground,FY06Q1,0.943,Restroom,Lower Great Highway Judah Restrooms,Great Hwy & Noriega,CA,94122,1,1844.32326936,190.92887089,0.04234001,-122.5095536,37.76024004
85,PSA4,South Sunset Playground,FY06Q1,0.909,Basketball Court,Joe Dimaggio Basketball Courts,651 Lombard St,CA,94133,,8238.44653742,368.89918681,0.18912946,-122.41205791,37.8024484
88,PSA4,McCoppin Square,FY06Q1,0.919,Basketball Court,Parkside Square Basketball Courts,28th Ave & Vicente,CA,94116,,2332.72574538,203.41131,0.05355223,-122.48342987,37.73875894
194,PSA5,29th Street-Diamond Open Space,FY06Q1,1,Clubhouse,MS Hayward Clubhouse,1016 Laguna,CA,94102,1,1365.16487066,192.08141295,0.03134,-122.42689899,37.78066418
203,PSA1,Broadway Tunnel West Mini Park,FY06Q1,0.909,Picnic Area,Pine Lake Park Picnic Areas,Sloat Blvd & Vale St,CA,94116,,1360.96363135,151.88378146,0.03124355,-122.48736957,37.73608483
136,PSA1,St. Mary's Square,FY06Q1,1,Restroom,Jefferson Square Bathrooms,Eddy & Gough,CA,94109,,449.38542699,90.23716577,0.01031651,-122.42546457,37.78153236
202,PSA2,Utah-18th Street Mini Park,FY06Q1,0.474,Clubhouse,Pine Lake Park Clubhouse,Sloat Blvd & Vale St,CA,94116,1,1707.81071477,191.98863539,0.0392061,-122.48719667,37.73602297
55,PSA2,Franklin Square,FY06Q1,0.174,Basketball Court,Crocker Amazon Basketball Courts,Moscow & Italy St,CA,94112,,16364.7869562,724.77705778,0.37568532,-122.43084993,37.71474057
180,PSA5,Sunnyside Conservatory,FY06Q1,0.645,Clubhouse,Grattan Clubhouse,1180 Stanyan St,CA,94117,1,2468.96985103,240.14986476,0.05667998,-122.45197204,37.76269549
66,PSA5,Balboa Park,FY06Q1,0.887,Basketball Court,J. P. Murphy Basketball Courts,1960 9th Ave,CA,94116,,5492.96238447,305.76962535,0.12610157,-122.46492925,37.75169429
191,PSA6,Kid Power Park,FY06Q1,1,Clubhouse,Laurel Hill Clubhouse,Euclid & Collins St,CA,94118,1,1340.11904178,184.90093265,0.03076502,-122.45120921,37.78370026
94,GGP,Golden Gate Park,FY06Q1,0.804,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
94,GGP,Golden Gate Park,FY06Q1,0.756,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
94,GGP,Golden Gate Park,FY06Q1,0.754,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
46,PSA3,Adam Rogers Park,FY06Q1,0.508,Basketball Court,Bernal Hts RC  Basketball Courts,500 Moultrie St,CA,94110,,3530.32840865,244.46992476,0.08104551,-122.41633421,37.73824803
47,PSA3,Hilltop Park,FY06Q1,0.63,Basketball Court,Victoria Manalo DravesBsktball Crts,Folsom & Sherman St,CA,94103,,7339.78761317,361.08977147,0.16849901,-122.40660765,37.77738554
103,PSA1,Lincoln Park,FY06Q1,0.694,Basketball Court,Walter Haas Basketball Courts,Addison & Farnum,CA,94131,,4080.7046888,264.14249975,0.09368046,-122.43480806,37.74043202
48,PSA3,India Basin Shoreline Park,FY06Q1,0.734,Basketball Court,Boeddeker Park Basketball Courts,295 Eddy St,CA,94102,,2591.24361113,203.78512047,0.05948701,-122.41243003,37.78432754
189,PSA3,Ridgetop Plaza,FY06Q1,0.76,Clubhouse,Junipero Serra Clubhouse,300 Stonecrest Dr,CA,94132,1,1809.03202669,222.38907338,0.04152983,-122.47409921,37.7250867
91,PSA4,West Sunset Playground,FY06Q1,0.942,Basketball Court,Presidio Heights Basketball Courts,Clay & Walnut St,CA,94118,,6165.96933931,320.01983988,0.14155174,-122.44947936,37.78852017
59,PSA6,Mission Recreation Center,FY06Q1,1,Basketball Court,Gilman Basketball Courts,Gilman Ave & Griffith,CA,94124,,4238.10241446,269.28905277,0.09729383,-122.38856943,37.71697286
130,PSA1,Helen Wills Playground,FY06Q1,0.918,Restroom,GGP4 Rose Garden Bathroom,Stanyan & Great Hwy,CA,94117,,1693.3252617,167.49628446,0.03887355,-122.47201293,37.77151676
24,PSA6,Garfield Square,FY06Q1,0.705,Ball Field,McCoppin Ball Fields,24th & Taraval,CA,94116,,77985.770037,1152.13806504,1.7903141,-122.47987668,37.74401981
50,PSA6,James Rolph Jr. Playground,FY06Q1,0.855,Basketball Court,Cabrillo Basketball Courts,38th Ave  &  Cabrillo,CA,94121,,7295.76407392,488.94951375,0.16748837,-122.49870696,37.77278236
49,PSA6,Potrero del Sol Park,FY06Q1,0.841,Basketball Court,Buchanan St. Mall Basketball Crts,Buchanan & Grove,CA,94102,,2246.38160812,192.13835784,0.05157003,-122.42861057,37.77961618
14,PSA3,Lessing-Sears Mini Park,FY06Q1,0.615,Ball Field,GGP2 Big Rec Ball Fields,Stanyan & Great Hwy,CA,94117,,338875.045245,2546.55290335,7.7795317,-122.46453564,37.76739107
15,PSA3,Cayuga Playground,FY06Q1,0.815,Ball Field,Holly ball fields,Holly Park Circle,CA,94110,,41701.5094901,811.86392619,0.95733876,-122.41988213,37.73755457
25,PSA3,Alice Chalmers Playground,FY06Q1,0.925,Ball Field,Miraloma ball fields,Omar & Sequoia Way,CA,94127,,47658.9072215,875.96078663,1.09410234,-122.4493957,37.73853897
